ID,Taxonomy
ASV220,Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma
ASV222,Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Verticillium
ASV223,Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Teratosphaeriaceae_unclassified
ASV225,Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified
ASV226,Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
ASV227,Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_unclassified; g__Helotiales_unclassified
ASV228,Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Leotiaceae; g__Alatospora
ASV229,Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified
ASV230,Root; k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Peltigerales; f__Peltigeraceae; g__Peltigera
ASV231,Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe
ASV232,Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Serendipitaceae; g__Serendipita
ASV235,Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified
ASV236,Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces
ASV237,Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_unclassified; g__Helotiales_unclassified
ASV239,Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Leotiomycetes_unclassified; f__Leotiomycetes_unclassified; g__Leotiomycetes_unclassified
ASV240,Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
